date,open,high,low,close,volume,market cap
12-Oct-24,62444.62,63448.78,62443.27,63193.02,16744110886,1.24912E+12
11-Oct-24,60275.46,63400.87,60046.13,62445.09,30327141594,1.2343E+12
10-Oct-24,60581.93,61236.72,58895.21,60274.5,30452813570,1.1914E+12
09-Oct-24,62131.73,62508.84,60314.61,60582.1,27670982363,1.19743E+12
08-Oct-24,62221.65,63174.31,61843.56,62131.97,28134475157,1.22804E+12
07-Oct-24,62819.11,64443.71,62152.55,62236.66,34253562610,1.22978E+12
06-Oct-24,62084.99,62959.57,61833.15,62818.95,14776233667,1.24156E+12
05-Oct-24,62067.61,62371.02,61689.58,62089.95,13305410749,1.22702E+12
04-Oct-24,60754.63,62465.99,60459.94,62067.48,29585472513,1.22665E+12
03-Oct-24,60632.49,61469.04,59878.8,60759.4,36106447279,1.20067E+12
02-Oct-24,60836.32,62357.69,59996.95,60632.79,40762722398,1.19822E+12
01-Oct-24,63335.6,64110.98,60189.28,60837.01,50220923500,1.20222E+12
30-Sep-24,65634.66,65635.05,62873.62,63329.5,37112957475,1.25146E+12
29-Sep-24,65888.9,66069.35,65450.01,65635.31,14788214575,1.29698E+12
28-Sep-24,65792.18,66255.53,65458.03,65887.65,15243637984,1.30198E+12
27-Sep-24,65180.67,66480.69,64852.99,65790.66,32058813449,1.30004E+12
26-Sep-24,63138.55,65790.8,62669.27,65181.02,36873129847,1.28793E+12
25-Sep-24,64302.59,64804.5,62945.38,63143.15,25078377700,1.24755E+12
24-Sep-24,63326.84,64695.22,62737.42,64301.97,29938335243,1.27052E+12
23-Sep-24,63643.1,64733.56,62628.08,63329.8,31400285425,1.25121E+12
22-Sep-24,63396.8,63993.42,62440.73,63648.71,20183348802,1.25743E+12
21-Sep-24,63184.34,63543.36,62783.11,63394.84,14408616220,1.25254E+12
20-Sep-24,62941.43,64119.53,62364.61,63192.98,35177164222,1.24832E+12
19-Sep-24,61651.16,63872.44,61609.87,62940.46,42710252573,1.24349E+12
18-Sep-24,60309,61664.07,59218.25,61649.68,40990702891,1.21798E+12
17-Sep-24,58192.51,61316.09,57628.07,60308.54,38075570118,1.19143E+12
16-Sep-24,59185.23,59205.51,57501.34,58192.51,32032822113,1.1496E+12
15-Sep-24,60000.73,60381.92,58696.31,59182.84,18120960867,1.16918E+12
14-Sep-24,60569.12,60656.72,59517.88,60005.12,16428405496,1.18527E+12
13-Sep-24,58130.32,60648.02,57650.11,60571.3,32490528356,1.19647E+12
12-Sep-24,57343.17,58534.36,57330.1,58127.01,33835707949,1.14827E+12
11-Sep-24,57650.29,57991.32,55567.34,57343.17,37049062672,1.13269E+12
10-Sep-24,57020.1,58029.98,56419.41,57648.71,28857630507,1.13874E+12
09-Sep-24,54851.89,58041.12,54598.43,57019.53,34618096173,1.12627E+12
08-Sep-24,54147.93,55300.86,53653.76,54841.57,18268287531,1.08342E+12
07-Sep-24,53949.09,54838.15,53740.07,54139.69,19061486526,1.06948E+12
06-Sep-24,56160.19,56976.11,52598.7,53948.75,49361693566,1.06553E+12
05-Sep-24,57971.7,58300.58,55712.45,56160.49,31030280656,1.10917E+12
04-Sep-24,57430.35,58511.57,55673.16,57971.54,35627680312,1.14492E+12
03-Sep-24,59106.19,59815.06,57425.17,57431.02,26666961053,1.1342E+12
02-Sep-24,57326.97,59403.07,57136.03,59112.48,27036454524,1.16727E+12
01-Sep-24,58969.8,59062.07,57217.82,57325.49,24592449997,1.13211E+12
31-Aug-24,59117.48,59432.59,58768.78,58969.9,12403470760,1.16452E+12
30-Aug-24,59388.6,59896.89,57768.53,59119.47,32292756405,1.16745E+12
29-Aug-24,59027.47,61184.08,58786.23,59388.18,32224990582,1.17274E+12
28-Aug-24,59507.92,60236.45,57890.68,59027.63,40289564698,1.16558E+12
27-Aug-24,62879.71,63207.6,58116.75,59504.13,39103882198,1.17504E+12
26-Aug-24,64342.23,64489.71,62849.56,62880.66,27682040631,1.24159E+12
25-Aug-24,64176.37,64996.42,63833.52,64333.54,18827683555,1.27027E+12
24-Aug-24,64103.87,64513.79,63619.92,64178.99,21430585163,1.26714E+12
23-Aug-24,60380.95,64947.06,60372.05,64094.36,42530509233,1.26568E+12
22-Aug-24,61168.32,61408.11,59815.25,60381.91,27625734377,1.19214E+12
21-Aug-24,59014.99,61834.35,58823.44,61175.19,32731154072,1.20765E+12
20-Aug-24,59493.45,61396.33,58610.88,59012.79,31613400008,1.16512E+12
