Time,Low,High,Open,Close,Volume
24-Mar-2016,410,417.72,417.53,412.95,5064.589365
25-Mar-2016,411,416.87,412.86,416.41,4598.661038
26-Mar-2016,414.37,417.77,416.42,416.97,3641.002857
27-Mar-2016,416.35,426.5,416.96,425.3,4658.098031
28-Mar-2016,419.63,425.36,425.29,423,5717.860071
29-Mar-2016,407.75,424.62,422.92,416.39,7361.855275
30-Mar-2016,407.56,416.41,416.4,412.79,5831.493604
31-Mar-2016,412.74,417.6,412.97,416.03,5235.542784
01-Apr-2016,414.12,417.68,416.03,417.68,5353.923184
02-Apr-2016,417.04,420.5,417.68,419.95,3952.018314
03-Apr-2016,418.33,420.8,419.95,420.16,3266.973813
04-Apr-2016,417.58,421,420.08,419.47,5323.835295
05-Apr-2016,418.01,423.43,419.48,422.36,5727.686296
06-Apr-2016,420.61,423,422.4,421.46,5211.961402
07-Apr-2016,419.41,422.74,421.36,421.99,5026.311187
08-Apr-2016,415.71,424.65,421.99,419.48,6437.975955
09-Apr-2016,415.51,419.79,419.48,419.46,3519.989111
10-Apr-2016,419.46,423.99,419.46,423.4,2990.036644
11-Apr-2016,420.15,424,423.29,423.94,5093.218252
12-Apr-2016,423.14,429.77,423.95,427.8,6997.063578
13-Apr-2016,423.59,429.44,427.8,425.58,5885.075145
14-Apr-2016,424.52,428,425.58,426.32,4732.226722
15-Apr-2016,425.72,431.1,426.35,430.93,4184.009391
16-Apr-2016,429.89,434.89,430.82,433.39,4133.985987
17-Apr-2016,429.15,434.93,433.69,431,3299.733958
18-Apr-2016,428.44,434.46,431.08,430.97,5277.321206
19-Apr-2016,429.22,438.2,430.9,437.06,6226.605283
20-Apr-2016,436.17,444.07,437.06,442.96,7150.956695
21-Apr-2016,441.99,453.8,442.87,452.25,7693.431009
22-Apr-2016,445.07,452.95,452.25,448.41,6814.781731
23-Apr-2016,447.03,455.84,448.57,455.69,4618.308214
24-Apr-2016,454.55,465,455.68,464.46,6188.490795
25-Apr-2016,454.65,472.38,464.47,466.17,9493.327847
26-Apr-2016,464.01,472.11,466.17,470.59,7471.240562
27-Apr-2016,434,470.79,470.3,445.31,11629.4977
28-Apr-2016,434.79,451.88,445.3,451.68,7644.692105
29-Apr-2016,448.5,459.44,451.67,458.82,5965.09735
30-Apr-2016,450.13,459.33,458.8,454.02,4710.289505
01-May-2016,451.55,457.07,454.02,456.98,2941.675879
02-May-2016,440.02,457.63,456.98,446.42,7694.208232
03-May-2016,443.61,453.29,446.53,452.21,5892.481384
04-May-2016,446.76,453.23,452.21,448.68,4883.540015
05-May-2016,447,451.56,448.59,449.98,5336.219912
06-May-2016,448.84,463.73,449.99,462.31,6193.777205
07-May-2016,459.55,464,462.31,461.91,3463.880206
08-May-2016,457.5,465,461.91,462.79,3275.577942
09-May-2016,459.41,465.9,462.6,464.16,5882.94057
10-May-2016,448.2,465,464.15,452.78,6814.257055
11-May-2016,452.5,458.65,452.77,454.37,5746.405494
12-May-2016,449.27,456.57,454.56,456.48,6119.044625
13-May-2016,453.84,458.03,456.48,457.98,5404.20703
14-May-2016,456,459.83,457.97,458.9,3295.199707
15-May-2016,458.49,463.62,458.9,461.47,3269.982525
16-May-2016,451.48,461.59,461.48,455.66,6019.172367
17-May-2016,452.2,457.49,455.64,454.19,6033.908426
18-May-2016,453.6,457.88,454.19,455.56,5512.423782
19-May-2016,435,456.41,455.56,438.38,8412.586139
20-May-2016,435.5,445.85,437.91,445.65,7178.735362
21-May-2016,441.88,446.99,445.52,446.28,3945.718212
22-May-2016,440.89,446.45,446.27,442.48,3779.582741
23-May-2016,440.79,446.3,442.45,445.67,5659.429353
24-May-2016,440.5,448.5,445.56,446.99,6536.812474
25-May-2016,446.86,452.42,446.98,451.49,6167.955769
26-May-2016,449,454.99,451.45,454.97,5843.881974
27-May-2016,454.35,476.75,454.97,471.27,9888.026488
28-May-2016,470.13,539.49,471.21,523.25,12107.4566
29-May-2016,491.01,549.99,523.35,525.22,9957.527243
30-May-2016,519,541,525.22,532.55,5960.333322
31-May-2016,520.01,544.9,532.56,531.34,8491.972681
01-Jun-2016,524.39,541.5,531.25,534.84,5736.652832
